bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
53,True,74,16999728,0.0158,0,30,2,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 72, ""json_like"": 2}"
54,True,68,7679392,0.0072,0,33,3,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
55,True,75,24449520,0.0228,0,43,4,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 74, ""json_like"": 1}"
56,True,68,861554240,0.8024,0,21,5,2,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
57,True,69,7758112,0.0072,0,32,2,0,"{""snapshot_file"": 69}","{""binary_or_unknown"": 69}"
58,True,79,345666640,0.3219,0,29,3,1,"{""snapshot_file"": 79}","{""binary_or_unknown"": 78, ""json_like"": 1}"
59,True,61,326013056,0.3036,0,15,3,1,"{""snapshot_file"": 61}","{""binary_or_unknown"": 61}"
5a,True,90,6778000,0.0063,0,32,2,0,"{""snapshot_file"": 90}","{""binary_or_unknown"": 90}"
5b,True,78,682547360,0.6357,0,26,6,2,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
5c,True,76,22092256,0.0206,0,32,2,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 75, ""json_like"": 1}"
5d,True,73,31446864,0.0293,0,23,5,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
5e,True,79,7410656,0.0069,0,26,1,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 78, ""json_like"": 1}"
5f,True,72,633663408,0.5901,0,38,4,2,"{""snapshot_file"": 72}","{""binary_or_unknown"": 71, ""json_like"": 1}"
60,True,68,9413632,0.0088,0,26,3,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 68}"
61,True,83,333046240,0.3102,0,41,4,1,"{""snapshot_file"": 83}","{""binary_or_unknown"": 83}"
62,True,71,10781408,0.01,0,26,3,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
63,True,60,7780736,0.0072,0,26,2,0,"{""snapshot_file"": 60}","{""binary_or_unknown"": 60}"
64,True,81,324600112,0.3023,0,33,5,1,"{""snapshot_file"": 81}","{""binary_or_unknown"": 80, ""json_like"": 1}"
65,True,79,960529888,0.8946,0,23,5,3,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
66,True,75,629870928,0.5866,0,37,5,2,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
67,True,77,10903872,0.0102,0,34,2,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
68,True,85,680640928,0.6339,0,31,4,2,"{""snapshot_file"": 85}","{""binary_or_unknown"": 85}"
69,True,90,19827504,0.0185,0,41,4,0,"{""snapshot_file"": 90}","{""binary_or_unknown"": 90}"
6a,True,79,14012000,0.013,0,32,3,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 77, ""json_like"": 2}"
6b,True,78,605545584,0.564,0,22,4,2,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
6c,True,75,8302272,0.0077,0,29,1,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
6d,True,86,12119328,0.0113,0,35,2,0,"{""snapshot_file"": 86}","{""binary_or_unknown"": 86}"
6e,True,81,5751120,0.0054,0,40,1,0,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
6f,True,86,10783376,0.01,0,42,1,0,"{""snapshot_file"": 86}","{""binary_or_unknown"": 85, ""json_like"": 1}"
70,True,81,465660656,0.4337,0,31,8,2,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
71,True,78,52083456,0.0485,0,27,4,0,"{""snapshot_file"": 78}","{""binary_or_unknown"": 77, ""json_like"": 1}"
72,True,95,6360592,0.0059,0,36,1,0,"{""snapshot_file"": 95}","{""binary_or_unknown"": 94, ""json_like"": 1}"
73,True,78,14834640,0.0138,0,34,4,0,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
74,True,63,11552560,0.0108,0,20,3,0,"{""snapshot_file"": 63}","{""binary_or_unknown"": 63}"
75,True,78,148499904,0.1383,0,32,1,1,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
76,True,73,220495584,0.2054,0,37,3,1,"{""snapshot_file"": 73}","{""binary_or_unknown"": 72, ""json_like"": 1}"
77,True,75,636956416,0.5932,0,34,4,2,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
78,True,76,14303152,0.0133,0,34,1,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 76}"
79,True,86,616329808,0.574,0,38,4,2,"{""snapshot_file"": 86}","{""binary_or_unknown"": 86}"
7a,True,72,626332976,0.5833,0,22,6,2,"{""snapshot_file"": 72}","{""binary_or_unknown"": 72}"
7b,True,72,340083760,0.3167,0,34,3,1,"{""snapshot_file"": 72}","{""binary_or_unknown"": 72}"
7c,True,81,5604352,0.0052,0,35,2,0,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
7d,True,85,331285280,0.3085,0,33,5,1,"{""snapshot_file"": 85}","{""binary_or_unknown"": 84, ""json_like"": 1}"
7e,True,76,9215520,0.0086,0,29,3,0,"{""snapshot_file"": 76}","{""binary_or_unknown"": 74, ""json_like"": 2}"
7f,True,73,562320256,0.5237,0,30,6,2,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
80,True,75,17115840,0.0159,0,31,3,0,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
81,True,87,13639488,0.0127,0,28,3,0,"{""snapshot_file"": 87}","{""binary_or_unknown"": 85, ""json_like"": 2}"
82,True,73,4957904,0.0046,0,30,0,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
83,True,84,14411952,0.0134,0,30,6,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 83, ""json_like"": 1}"
